Kanji,Kana,Nghĩa,Loại từ
石鹸,せっけん,Xà phòng,Danh từ
歯ブラシ,はぶらし,Bàn chải đánh răng,Danh từ
歯磨き粉,はみがきこ,Kem đánh răng,Danh từ
シャンプー,しゃんぷー,Dầu gội,Danh từ
リンス,りんす,Dầu xả,Danh từ
ドライヤー,どらいやー,Máy sấy tóc,Danh từ
テーブル,てーぶる,Bàn,Danh từ
皿,さら,Đĩa,Danh từ
コップ,こっぷ,Cốc,Danh từ
箸,はし,Đũa,Danh từ
フォーク,ふぉーく,Nĩa,Danh từ
スプーン,すぷーん,Thìa,Danh từ
包丁,ほうちょう,Dao,Danh từ
鍋,なべ,Nồi,Danh từ
フライパン,ふらいぱん,Chảo,Danh từ
冷凍庫,れいとうこ,Ngăn đá,Danh từ
掃除機,そうじき,Máy hút bụi,Danh từ
ごみ箱,ごみばこ,Thùng rác,Danh từ
カーテン,かーてん,Rèm cửa,Danh từ
ライト,らいと,Đèn,Danh từ
棚,たな,Kệ,Danh từ
壁,かべ,Tường,Danh từ
床,ゆか,Sàn,Danh từ
天井,てんじょう,Trần nhà,Danh từ
庭,にわ,Vườn,Danh từ
ベランダ,べらんだ,Ban công,Danh từ
玄関,げんかん,Cửa ra vào,Danh từ
トイレ,といれ,Nhà vệ sinh,Danh từ
風呂,ふろ,Phòng tắm,Danh từ
台所,だいどころ,Nhà bếp,Danh từ
部屋,へや,Phòng,Danh từ
寝室,しんしつ,Phòng ngủ,Danh từ
居間,いま,Phòng khách,Danh từ
食堂,しょくどう,Nhà ăn,Danh từ
窓,まど,Cửa sổ,Danh từ
机,つくえ,Bàn,Danh từ
椅子,いす,Ghế,Danh từ
ベッド,べっど,Giường,Danh từ
絵,え,Tranh,Danh từ
写真,しゃしん,Ảnh,Danh từ
時計,とけい,Đồng hồ,Danh từ
テレビ,てれび,Tivi,Danh từ
本棚,ほんだな,Kệ sách,Danh từ
電話,でんわ,Điện thoại,Danh từ
コンセント,こんせんと,Ổ cắm,Danh từ
電池,でんち,Pin,Danh từ
スイッチ,すいっち,Công tắc,Danh từ
ポスター,ぽすたー,Áp phích,Danh từ
カレンダー,かれんだー,Lịch,Danh từ
新聞,しんぶん,Báo,Danh từ
雑誌,ざっし,Tạp chí,Danh từ
駅,えき,Nhà ga,Danh từ
空港,くうこう,Sân bay,Danh từ
バス停,ばすてい,Trạm xe buýt,Danh từ
バス,ばす,Xe buýt,Danh từ
電車,でんしゃ,Tàu điện,Danh từ
地下鉄,ちかてつ,Tàu điện ngầm,Danh từ
自転車,じてんしゃ,Xe đạp,Danh từ
車,くるま,Ô tô,Danh từ
タクシー,たくしー,Taxi,Danh từ
船,ふね,Thuyền,Danh từ
飛行機,ひこうき,Máy bay,Danh từ
信号,しんごう,Đèn giao thông,Danh từ
交差点,こうさてん,Ngã tư,Danh từ
道,みち,Con đường,Danh từ
橋,はし,Cầu,Danh từ
トンネル,とんねる,Hầm,Danh từ
バス乗り場,ばすのりば,Bến xe buýt,Danh từ
停留所,ていりゅうじょ,Trạm dừng,Danh từ
地図,ちず,Bản đồ,Danh từ
切符,きっぷ,Vé,Danh từ
入口,いりぐち,Lối vào,Danh từ
出口,でぐち,Lối ra,Danh từ
左,ひだり,Trái,Danh từ
右,みぎ,Phải,Danh từ
前,まえ,Trước,Danh từ
後ろ,うしろ,Sau,Danh từ
近く,ちかく,Gần,Danh từ
遠く,とおく,Xa,Danh từ
中,なか,Trong,Danh từ
外,そと,Ngoài,Danh từ
上,うえ,Trên,Danh từ
下,した,Dưới,Danh từ
東,ひがし,Đông,Danh từ
西,にし,Tây,Danh từ
南,みなみ,Nam,Danh từ
北,きた,Bắc,Danh từ
角,かど,Góc,Danh từ
信号機,しんごうき,Đèn tín hiệu,Danh từ
横断歩道,おうだんほどう,Vạch qua đường,Danh từ
道路,どうろ,Đường bộ,Danh từ
公園,こうえん,Công viên,Danh từ
学校,がっこう,Trường học,Danh từ
病院,びょういん,Bệnh viện,Danh từ
銀行,ぎんこう,Ngân hàng,Danh từ
郵便局,ゆうびんきょく,Bưu điện,Danh từ
図書館,としょかん,Thư viện,Danh từ
スーパー,すーぱー,Siêu thị,Danh từ
デパート,でぱーと,Trung tâm thương mại,Danh từ
コンビニ,こんびに,Cửa hàng tiện lợi,Danh từ
レストラン,れすとらん,Nhà hàng,Danh từ
喫茶店,きっさてん,Quán cà phê,Danh từ
ホテル,ほてる,Khách sạn,Danh từ
映画館,えいがかん,Rạp chiếu phim,Danh từ
美術館,びじゅつかん,Bảo tàng mỹ thuật,Danh từ
博物館,はくぶつかん,Viện bảo tàng,Danh từ
神社,じんじゃ,Đền Thần đạo,Danh từ
お寺,おてら,Chùa,Danh từ
教会,きょうかい,Nhà thờ,Danh từ
会社,かいしゃ,Công ty,Danh từ
工場,こうじょう,Nhà máy,Danh từ
駅前,えきまえ,Trước nhà ga,Danh từ
空,そら,Bầu trời,Danh từ
海,うみ,Biển,Danh từ
山,やま,Núi,Danh từ
川,かわ,Sông,Danh từ
湖,みずうみ,Hồ,Danh từ
森,もり,Rừng,Danh từ
田んぼ,たんぼ,Ruộng lúa,Danh từ
畑,はたけ,Ruộng,Danh từ
道の駅,みちのえき,Trạm nghỉ đường,Danh từ
市,し,Thành phố,Danh từ
町,まち,Thị trấn,Danh từ
村,むら,Làng,Danh từ
建物,たてもの,Tòa nhà,Danh từ
家,いえ,Nhà,Danh từ
部屋,へや,Phòng,Danh từ
マンション,まんしょん,Chung cư cao cấp,Danh từ
アパート,あぱーと,Căn hộ,Danh từ
ビル,びる,Tòa nhà,Danh từ
市場,いちば,Chợ,Danh từ
港,みなと,Cảng,Danh từ
動物園,どうぶつえん,Sở thú,Danh từ
水族館,すいぞくかん,Thủy cung,Danh từ
遊園地,ゆうえんち,Khu vui chơi,Danh từ
温泉,おんせん,Suối nước nóng,Danh từ
花屋,はなや,Tiệm hoa,Danh từ
パン屋,ぱんや,Tiệm bánh mì,Danh từ
本屋,ほんや,Hiệu sách,Danh từ
肉屋,にくや,Tiệm thịt,Danh từ
魚屋,さかなや,Tiệm cá,Danh từ
八百屋,やおや,Tiệm rau,Danh từ
交番,こうばん,Đồn cảnh sát,Danh từ
駐車場,ちゅうしゃじょう,Bãi đỗ xe,Danh từ
信号,しんごう,Đèn giao thông,Danh từ
交差点,こうさてん,Ngã tư,Danh từ
空,そら,Bầu trời,Danh từ
山,やま,Núi,Danh từ
海,うみ,Biển,Danh từ
橋,はし,Cầu,Danh từ
道,みち,Đường,Danh từ
食べ物,たべもの,Đồ ăn,Danh từ
飲み物,のみもの,Đồ uống,Danh từ
ご飯,ごはん,"Cơm, bữa ăn",Danh từ
朝ご飯,あさごはん,Bữa sáng,Danh từ
昼ご飯,ひるごはん,Bữa trưa,Danh từ
晩ご飯,ばんごはん,Bữa tối,Danh từ
パン,ぱん,Bánh mì,Danh từ
卵,たまご,Trứng,Danh từ
肉,にく,Thịt,Danh từ
魚,さかな,Cá,Danh từ
野菜,やさい,Rau,Danh từ
果物,くだもの,Trái cây,Danh từ
水,みず,Nước,Danh từ
お茶,おちゃ,Trà,Danh từ
コーヒー,こーひー,Cà phê,Danh từ
牛乳,ぎゅうにゅう,Sữa bò,Danh từ
ジュース,じゅーす,Nước ép,Danh từ
砂糖,さとう,Đường,Danh từ
塩,しお,Muối,Danh từ
味噌,みそ,Tương miso,Danh từ
醤油,しょうゆ,Nước tương,Danh từ
ごちそう,ごちそう,Bữa ăn thịnh soạn,Danh từ
料理,りょうり,"Món ăn, việc nấu nướng",Danh từ
作る,つくる,"Làm, chế biến",Động từ
食べる,たべる,Ăn,Động từ
飲む,のむ,Uống,Động từ
味,あじ,"Vị, hương vị",Danh từ
甘い,あまい,Ngọt,Tính từ
辛い,からい,Cay,Tính từ
塩辛い,しおからい,Mặn,Tính từ
苦い,にがい,Đắng,Tính từ
酸っぱい,すっぱい,Chua,Tính từ
美味しい,おいしい,Ngon,Tính từ
まずい,まずい,Dở,Tính từ
冷たい,つめたい,Lạnh (cảm giác khi chạm vào),Tính từ
温かい,あたたかい,Ấm,Tính từ
熱い,あつい,Nóng,Tính từ
お弁当,おべんとう,Cơm hộp,Danh từ
箸,はし,Đũa,Danh từ
皿,さら,"Dĩa, đĩa",Danh từ
茶碗,ちゃわん,"Chén, bát",Danh từ
スプーン,すぷーん,Muỗng,Danh từ
フォーク,ふぉーく,Nĩa,Danh từ
ナイフ,ないふ,Dao,Danh từ
レストラン,れすとらん,Nhà hàng,Danh từ
カフェ,かふぇ,Quán cà phê,Danh từ
食堂,しょくどう,Nhà ăn,Danh từ
メニュー,めにゅー,Thực đơn,Danh từ
注文,ちゅうもん,Gọi món,Danh từ
お腹がすく,おなかがすく,Đói bụng,Cụm động từ
喉が渇く,のどがかわく,Khát nước,Cụm động từ
お腹いっぱい,おなかいっぱい,No bụng,Cụm từ
いただきます,いただきます,Câu nói trước khi ăn,Cụm từ
ごちそうさまでした,ごちそうさまでした,Câu nói sau khi ăn,Cụm từ
天気,てんき,Thời tiết,Danh từ
晴れ,はれ,"Trời nắng, quang đãng",Danh từ
曇り,くもり,"Trời mây, âm u",Danh từ
雨,あめ,Mưa,Danh từ
雪,ゆき,Tuyết,Danh từ
風,かぜ,Gió,Danh từ
台風,たいふう,Bão,Danh từ
雷,かみなり,Sấm sét,Danh từ
空,そら,Bầu trời,Danh từ
雲,くも,Mây,Danh từ
太陽,たいよう,Mặt trời,Danh từ
星,ほし,Ngôi sao,Danh từ
月,つき,Mặt trăng,Danh từ
山,やま,Núi,Danh từ
川,かわ,Sông,Danh từ
海,うみ,Biển,Danh từ
湖,みずうみ,Hồ,Danh từ
森,もり,Rừng rậm,Danh từ
林,はやし,Rừng cây,Danh từ
花,はな,Hoa,Danh từ
草,くさ,Cỏ,Danh từ
木,き,Cây,Danh từ
石,いし,Đá,Danh từ
火,ひ,Lửa,Danh từ
水,みず,Nước,Danh từ
土,つち,Đất,Danh từ
空気,くうき,Không khí,Danh từ
気温,きおん,Nhiệt độ không khí,Danh từ
寒い,さむい,Lạnh (thời tiết),Tính từ
暑い,あつい,Nóng (thời tiết),Tính từ
涼しい,すずしい,Mát mẻ,Tính từ
暖かい,あたたかい,Ấm áp,Tính từ
強い風,つよいかぜ,Gió mạnh,Cụm danh từ
弱い風,よわいかぜ,Gió nhẹ,Cụm danh từ
天気予報,てんきよほう,Dự báo thời tiết,Danh từ
四季,しき,Bốn mùa,Danh từ
春,はる,Mùa xuân,Danh từ
夏,なつ,Mùa hè,Danh từ
秋,あき,Mùa thu,Danh từ
冬,ふゆ,Mùa đông,Danh từ
虹,にじ,Cầu vồng,Danh từ
雪だるま,ゆきだるま,Người tuyết,Danh từ
朝日,あさひ,Mặt trời mọc,Danh từ
夕日,ゆうひ,Hoàng hôn,Danh từ
雷が鳴る,かみなりがなる,Có sấm,Cụm động từ
雨が降る,あめがふる,Trời mưa,Cụm động từ
雪が降る,ゆきがふる,Trời tuyết,Cụm động từ
風が吹く,かぜがふく,Gió thổi,Cụm động từ
日が出る,ひがでる,Mặt trời mọc,Cụm động từ
日が沈む,ひがしずむ,Mặt trời lặn,Cụm động từ
涼しくなる,すずしくなる,Trở nên mát mẻ,Cụm động từ
暑くなる,あつくなる,Trở nên nóng,Cụm động từ
寒くなる,さむくなる,Trở nên lạnh,Cụm động từ
嬉しい,うれしい,ureshii,vui
悲しい,かなしい,kanashii,buồn
怒る,おこる,okoru,tức giận
怖い,こわい,kowai,sợ
疲れる,つかれる,tsukareru,mệt
元気,げんき,genki,khỏe
寂しい,さびしい,sabishii,cô đơn
心配,しんぱい,shinpai,lo lắng
自信,じしん,jishin,tự tin
恥ずかしい,はずかしい,hazukashii,xấu hổ
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
好き,すき,suki,thích
嫌い,きらい,kirai,ghét
楽しい,たのしい,tanoshii,vui vẻ
眠い,ねむい,nemui,buồn ngủ
腹ペコ,はらぺこ,harapeko,đói
喉が渇く,のどがかわく,nodo ga kawaku,khát
痛い,いたい,itai,đau
忙しい,いそがしい,isogashii,bận rộn
暇,ひま,hima,rảnh rỗi
明るい,あかるい,akarui,vui tính
仕事,しごと,công việc,Danh từ
会社,かいしゃ,công ty,Danh từ
会社員,かいしゃいん,nhân viên công ty,Danh từ
店員,てんいん,nhân viên cửa hàng,Danh từ
医者,いしゃ,bác sĩ,Danh từ
看護師,かんごし,y tá,Danh từ
先生,せんせい,giáo viên,Danh từ
教師,きょうし,giáo viên (nghề),Danh từ
学生,がくせい,"học sinh, sinh viên",Danh từ
エンジニア,えんじにあ,kỹ sư,Danh từ
運転手,うんてんしゅ,tài xế,Danh từ
料理人,りょうりにん,đầu bếp,Danh từ
美容師,びようし,thợ làm tóc,Danh từ
警察官,けいさつかん,cảnh sát,Danh từ
消防士,しょうぼうし,lính cứu hỏa,Danh từ
社長,しゃちょう,giám đốc,Danh từ
部長,ぶちょう,trưởng phòng,Danh từ
店長,てんちょう,quản lý cửa hàng,Danh từ
農家,のうか,nông dân,Danh từ
漁師,りょうし,ngư dân,Danh từ
郵便局員,ゆうびんきょくいん,nhân viên bưu điện,Danh từ
銀行員,ぎんこういん,nhân viên ngân hàng,Danh từ
作家,さっか,nhà văn,Danh từ
記者,きしゃ,phóng viên,Danh từ
俳優,はいゆう,diễn viên nam,Danh từ
女優,じょゆう,diễn viên nữ,Danh từ
歌手,かしゅ,ca sĩ,Danh từ
店,みせ,cửa hàng,Danh từ
会社に行く,かいしゃにいく,đi làm,Động từ
働く,はたらく,làm việc,Động từ
休む,やすむ,nghỉ,Động từ
会議,かいぎ,cuộc họp,Danh từ
会議室,かいぎしつ,phòng họp,Danh từ
書類,しょるい,tài liệu,Danh từ
名刺,めいし,danh thiếp,Danh từ
パソコン,ぱそこん,máy tính,Danh từ
電話,でんわ,điện thoại,Danh từ
コピーする,こぴーする,sao chép,Động từ
準備する,じゅんびする,chuẩn bị,Động từ
仕事を終える,しごとをおえる,kết thúc công việc,Động từ
残業,ざんぎょう,tăng ca,Danh từ
給料,きゅうりょう,lương,Danh từ
アルバイト,あるばいと,việc làm thêm,Danh từ
面接,めんせつ,phỏng vấn,Danh từ
就職,しゅうしょく,"xin việc, tìm việc",Danh từ
退職,たいしょく,nghỉ việc,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
専門家,せんもんか,chuyên gia,Danh từ
旅行,りょこう,du lịch,Danh từ
旅,たび,chuyến đi,Danh từ
観光,かんこう,tham quan,Danh từ
ホテル,ほてる,khách sạn,Danh từ
旅館,りょかん,nhà trọ kiểu Nhật,Danh từ
空港,くうこう,sân bay,Danh từ
駅,えき,ga tàu,Danh từ
バス停,ばすてい,trạm xe bus,Danh từ
地図,ちず,bản đồ,Danh từ
切符,きっぷ,vé,Danh từ
予約,よやく,đặt trước,Danh từ
荷物,にもつ,hành lý,Danh từ
写真,しゃしん,ảnh,Danh từ
写真を撮る,しゃしんをとる,chụp ảnh,Động từ
散歩する,さんぽする,đi dạo,Động từ
歩く,あるく,đi bộ,Động từ
登る,のぼる,leo (núi),Động từ
海,うみ,biển,Danh từ
山,やま,núi,Danh từ
川,かわ,sông,Danh từ
湖,みずうみ,hồ,Danh từ
島,しま,đảo,Danh từ
温泉,おんせん,suối nước nóng,Danh từ
公園,こうえん,công viên,Danh từ
動物園,どうぶつえん,sở thú,Danh từ
水族館,すいぞくかん,thủy cung,Danh từ
城,しろ,lâu đài,Danh từ
寺,てら,chùa,Danh từ
神社,じんじゃ,đền thờ Thần đạo,Danh từ
観光地,かんこうち,điểm du lịch,Danh từ
旅行する,りょこうする,du lịch,Động từ
出発,しゅっぱつ,xuất phát,Danh từ
到着,とうちゃく,đến nơi,Danh từ
パスポート,ぱすぽーと,hộ chiếu,Danh từ
案内,あんない,hướng dẫn,Danh từ / Động từ
ガイド,がいど,hướng dẫn viên,Danh từ
買い物,かいもの,mua sắm,Danh từ
観る,みる,"chiêm ngưỡng, xem",Động từ
休む,やすむ,nghỉ ngơi,Động từ
宿泊,しゅくはく,trọ lại,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
冒険,ぼうけん,phiêu lưu,Danh từ
